days	QW	BHP
1979	0	331
2009	740	351
2040	681	352
2071	597	351
2099	549	352
2130	468	349
2160	466	353
2191	380	350
2221	331	351
2252	273	347
2283	327	352
2313	387	351
2344	466	351
2374	562	353
2405	634	353
2436	1158	350
2465	1715	352
2496	0	301
2526	2347	348
2557	1897	350
2587	1601	347
2618	1606	347
2649	1632	348
2679	1704	351
2710	1624	347
2740	1781	351
2771	1783	349
2802	1817	348
2830	1933	351
2861	1806	347
2891	1760	347
2922	1913	353
2952	1853	348
2983	1886	349
3014	1974	353
3044	1920	350
3075	2035	348
3105	2224	353
3136	1973	349
3167	1967	352
3195	1964	353
3226	1876	349
3256	1847	348
3287	0	309
3317	0	300
3348	2444	353
3379	2122	349
3409	1940	347
3440	1926	347
3470	1980	349
3501	1932	347
3532	2000	348
3560	2077	352
3591	1937	347
3621	2042	352
3652	1931	348
3682	2040	353
3713	1932	352
3744	1814	348
3774	1486	347
3805	1305	347
3835	1657	352
3866	1975	352
3897	2221	351
3926	2138	350
3957	2008	352
3987	1830	349
4018	1835	351
