days	QW	BHP
2374	0	282
2405	1340	326
2436	1316	350
2465	1284	353
2496	1215	351
2526	1224	350
2557	1206	347
2587	1353	351
2618	1381	350
2649	1433	349
2679	1467	351
2710	1290	348
2740	1324	353
2771	1278	353
2802	1214	352
2830	1101	349
2861	1122	352
2891	957	347
2922	816	347
2952	685	347
2983	744	353
3014	706	347
3044	798	351
3075	749	349
3105	716	347
3136	790	353
3167	720	349
3195	729	350
3226	693	349
3256	660	348
3287	0	328
3317	0	320
3348	1088	347
3379	847	350
3409	750	349
3440	734	353
3470	614	348
3501	579	348
3532	561	350
3560	501	347
3591	485	348
3621	491	350
3652	477	350
3682	463	350
3713	437	348
3744	453	350
3774	452	348
3805	443	347
3835	434	348
3866	413	347
3897	427	351
3926	416	352
3957	0	338
3987	0	338
4018	636	350
